3.88,2 
3.6,2 
1.6,0 
2.78,2 
2.72,0 
3.64,2 
3.16,0 
4.48,2 
7.2,2 
2.96,0 
5.3,0 
2.48,0 
5.24,2 
1.56,3 
3.8,0 
4.84,0 
5.8,3 
4.28,0 
2.52,2 
4.48,0 
6.16,0 
4.56,0 
3.48,0 
6.08,2 
3.04,3 
2.76,0 
2.36,2 
3.12,0 
3.84,2 
5.88,2 
4.08,0 
2.68,0 
2.24,0 
1.96,0 
2.4,0 
2.6,0 
2.48,3 
3.92,3 
6.0,0 
5.16,0 
2.68,3 
4.32,0 
3.92,0 
7.16,3 
2.52,3 
4.12,2 
4.72,2 
3.28,2 
2.52,0 
4.68,3 
3.8,2 
5.76,0 
2.76,2 
2.6,2 
3.76,2 
2.56,0 
6.48,2 
1.76,0 
6.28,0 
6.16,2 
3.44,2 
3.96,2 
6.48,2 
4.12,0 
3.12,0 
4.84,0 
3.4,0 
4.84,2 
2.0,3 
5.02,0 
4.04,0 
4.44,0 
5.16,2 
4.16,0 
4.6,0 
2.36,2 
4.64,2 
6.0,3 
4.48,2 
2.68,2 
3.16,0 
3.44,0 
5.4,0 
2.76,3 
4.0,2 
2.44,0 
2.0,0 
3.64,0 
5.0,0 
2.52,2 
4.4,0 
6.2,2 
5.52,0 
4.52,0 
4.4,0 
3.64,0 
4.36,0 
5.88,0 
4.9,2 
4.6,2 
5.92,0 
4.6,2 
2.72,0 
4.84,0 
4.36,3 
1.8,0 
4.72,2 
3.68,2 
7.4,2 
6.24,0 
3.04,3 
4.56,2 
4.4,0 
5.48,0 
3.1,0 
4.28,0 
3.76,0 
3.8,2 
5.76,2 
5.4,2 
3.04,3 
5.56,0 
5.16,0 
2.88,2 
4.04,0 
5.12,3 
5.88,2 
4.16,0 
3.24,2 
5.08,2 
3.28,0 
6.04,2 
3.68,0 
2.08,0 
2.16,0 
5.28,2 
5.68,2 
2.76,0 
6.92,0 
2.2,2 
2.56,0 
2.04,0 
2.4,3 
1.88,0 
4.04,0 
3.08,0 
2.44,0 
3.66,0 
3.88,0 
4.2,2 
4.0,2 
3.16,0 
4.16,2 
3.72,2 
6.28,2 
5.08,2 
2.48,0 
1.8,2 
1.88,2 
4.48,3 
4.12,3 
5.44,2 
5.56,3 
5.92,0 
4.72,0 
2.44,0 
6.08,0 
2.6,0 
3.2,0 
5.52,0 
5.36,0 
